,date,station_complex_id,station_complex,borough,routes,latitude,longitude,monthly_ridership
179,2022-02,N196,Far Rockaway-Mott Av (A),Q,A,40.60399627685547,-73.75540161132812,57145
180,2022-02,N202,"155 St (B,D)",M,"B,D",40.83013534545898,-73.9382095336914,46387
181,2022-02,N203,"161 St-Yankee Stadium (B,D,4)",BX,"4,B,D",40.82799530029297,-73.92565155029297,271979
182,2022-02,N207,"167 St (B,D)",BX,"B,D",40.833770751953125,-73.91844177246094,111204
183,2022-02,N209,"170 St (B,D)",BX,"B,D",40.83930587768555,-73.91339874267578,86064
184,2022-02,N210,"174-175 Sts (B,D)",BX,"B,D",40.84590148925781,-73.9101333618164,66901
185,2022-02,N213,"Tremont Av (B,D)",BX,"B,D",40.85041046142578,-73.90522766113281,116964
186,2022-02,N215,"182-183 Sts (B,D)",BX,"B,D",40.85609436035156,-73.90074157714844,60520
187,2022-02,N217,"Fordham Rd (B,D)",BX,"B,D",40.86129760742188,-73.89775085449219,138929
188,2022-02,N221,"Kingsbridge Rd (B,D)",BX,"B,D",40.86697769165039,-73.89350891113281,94642
189,2022-02,N222,"Bedford Park Blvd (B,D)",BX,"B,D",40.87324523925781,-73.88713836669922,93326
190,2022-02,N224,Norwood-205 St (D),BX,D,40.87480926513672,-73.87885284423828,110901
191,2022-02,N301,"7 Av (B,D,E)",M,"E,B,D",40.76286315917969,-73.98163604736328,154018
192,2022-02,N303,"5 Av-53 St (E,M)",M,"M,E",40.76016616821289,-73.97522735595703,177612
193,2022-02,N305,"Lexington Av-53 St (E,M)/51 St (6)",M,"M,E,,6",40.75755310058594,-73.96905517578125,532230
194,2022-02,N307,"Court Sq (E,G,M,7)",Q,"M,E,G,7",40.74784469604492,-73.94383239746094,261466
195,2022-02,N309A,"Queens Plaza (E,M,R)",Q,"M,E,R",40.74897384643555,-73.93724060058594,152238
196,2022-02,N312,"36 St (M,R)",Q,"M,R",40.75204086303711,-73.92877960205078,47138
197,2022-02,N315,"Steinway St (M,R)",Q,"M,R",40.75687789916992,-73.92073822021484,168918
198,2022-02,N316,"46 St (M,R)",Q,"M,R",40.75631332397461,-73.913330078125,104379
199,2022-02,N318,"Northern Blvd (M,R)",Q,"M,R",40.75288391113281,-73.906005859375,88586
200,2022-02,N322,"65 St (M,R)",Q,"M,R",40.74966812133789,-73.89845275878906,47057
201,2022-02,N325A,"Elmhurst Av (M,R)",Q,"M,R",40.742454528808594,-73.88201904296875,171357
202,2022-02,N327,"Grand Av-Newtown (M,R)",Q,"M,R",40.73701477050781,-73.8772201538086,249930
203,2022-02,N329,"Woodhaven Blvd (M,R)",Q,"M,R",40.73310470581055,-73.86923217773438,267025
204,2022-02,N330B,"63 Dr-Rego Park (M,R)",Q,"M,R",40.7298469543457,-73.86160278320312,190847
205,2022-02,N331,"67 Av (M,R)",Q,"M,R",40.726524353027344,-73.85272216796875,104847
206,2022-02,N333A,"Forest Hills-71 Av (E,F,M,R)",Q,"F,M,E,R",40.7216911315918,-73.84452056884766,328738
207,2022-02,N334B,"75 Av (E,F)",Q,"F,E",40.71833038330078,-73.83732604980469,41872
208,2022-02,N336,"Kew Gardens-Union Turnpike (E,F)",Q,"F,E",40.71443939208984,-73.83100891113281,307867
209,2022-02,N337,"Briarwood-Van Wyck Blvd (E,F)",Q,"F,E",40.70917892456055,-73.82057189941406,66800
210,2022-02,N338B,Sutphin Blvd (F),Q,F,40.70545959472656,-73.81070709228516,57337
211,2022-02,N339A,Parsons Blvd (F),Q,F,40.70756530761719,-73.80332946777344,95751
212,2022-02,N340A,169 St (F),Q,F,40.71046829223633,-73.7936019897461,107012
213,2022-02,N343,Jamaica-179 St (F),Q,F,40.712646484375,-73.7838134765625,268009
214,2022-02,N401,21 St (G),Q,G,40.74406433105469,-73.94972229003906,26018
215,2022-02,N405,Greenpoint Av (G),BK,G,40.731353759765625,-73.95445251464844,141181
216,2022-02,N408A,Nassau Av (G),BK,G,40.72463607788086,-73.95127868652344,132501
217,2022-02,N412,Broadway (G),BK,G,40.706092834472656,-73.95030975341797,73604
218,2022-02,N414,Flushing Av (G),BK,G,40.70037841796875,-73.95023345947266,42569
219,2022-02,N415,Myrtle-Willoughby Avs (G),BK,G,40.6945686340332,-73.94904327392578,83565
220,2022-02,N417,Bedford-Nostrand Avs (G),BK,G,40.68962860107422,-73.95352172851562,117993
221,2022-02,N419,Classon Av (G),BK,G,40.688873291015625,-73.96006774902344,81312
222,2022-02,N420B,Clinton-Washington Avs (G),BK,G,40.688087463378906,-73.96684265136719,75410
223,2022-02,N422,Fulton St (G),BK,G,40.68711853027344,-73.97537231445312,91154
224,2022-02,N500,"47-50 Sts-Rockefeller Center (B,D,F,M)",M,"F,M,B,D",40.75866317749024,-73.98133087158203,539072
225,2022-02,N508,"23 St (F,M)",M,"F,M",40.74287796020508,-73.9928207397461,301273
226,2022-02,N512,"14 St (F,M,1,2,3)/6 Av (L)",M,"F,M,3,1,2,,L",40.73822784423828,-73.99620819091797,561505
227,2022-02,N520,"Grand St (B,D)",M,"B,D",40.71826553344727,-73.9937515258789,307520
228,2022-02,N523,2 Av (F),M,F,40.7234001159668,-73.98993682861328,221473
229,2022-02,N525,"Delancey St (F)/Essex St (J,M,Z)",M,"F,M,J,Z,",40.71861267089844,-73.98743438720703,375695
230,2022-02,N529,East Broadway (F),M,F,40.713714599609375,-73.99017333984375,180736
231,2022-02,N530,York St (F),BK,F,40.70139694213867,-73.98674774169922,138493
232,2022-02,N532,"Bergen St (F,G)",BK,"F,G",40.6861457824707,-73.99085998535156,145840
233,2022-02,N535,"Carroll St (F,G)",BK,"F,G",40.680301666259766,-73.99504852294922,146095
234,2022-02,N536,"Smith-9 Sts (F,G)",BK,"F,G",40.67358016967773,-73.99595642089844,57070
235,2022-02,N539A,"7 Av (F,G)",BK,"F,G",40.6662712097168,-73.98030853271484,156512
236,2022-02,N542,"15 St-Prospect Park (F,G)",BK,"F,G",40.66036605834961,-73.9794921875,76837
237,2022-02,N543,"Fort Hamilton Pkwy (F,G)",BK,"F,G",40.65078353881836,-73.97577667236328,75118
