,station_complex_id,station_complex,borough,routes,latitude,longitude,average_monthly_ridership
209,N337,"Briarwood-Van Wyck Blvd (E,F)",Q,"F,E",40.70917892456055,-73.82057189941406,84953.71428571429
210,N338B,Sutphin Blvd (F),Q,F,40.70545959472656,-73.81070709228516,71675.23809523809
211,N339A,Parsons Blvd (F),Q,F,40.70756530761719,-73.80332946777344,124737.09523809524
212,N340A,169 St (F),Q,F,40.71046829223633,-73.7936019897461,131411.80952380953
213,N343,Jamaica-179 St (F),Q,F,40.712646484375,-73.7838134765625,327816.90476190473
214,N401,21 St (G),Q,G,40.74406433105469,-73.94972229003906,34491.142857142855
215,N405,Greenpoint Av (G),BK,G,40.731353759765625,-73.95445251464844,187998.14285714287
216,N408A,Nassau Av (G),BK,G,40.72463607788086,-73.95127868652344,176547.0
217,N412,Broadway (G),BK,G,40.706092834472656,-73.95030975341797,87348.0
218,N414,Flushing Av (G),BK,G,40.70037841796875,-73.95023345947266,55801.19047619047
219,N415,Myrtle-Willoughby Avs (G),BK,G,40.6945686340332,-73.94904327392578,101617.61904761905
220,N417,Bedford-Nostrand Avs (G),BK,G,40.68962860107422,-73.95352172851562,158521.66666666666
221,N419,Classon Av (G),BK,G,40.688873291015625,-73.96006774902344,105675.28571428571
222,N420B,Clinton-Washington Avs (G),BK,G,40.688087463378906,-73.96684265136719,97883.80952380953
223,N422,Fulton St (G),BK,G,40.68711853027344,-73.97537231445312,118119.57142857143
224,N500,"47-50 Sts-Rockefeller Center (B,D,F,M)",M,"F,M,B,D",40.75866317749024,-73.98133087158203,864252.2857142857
225,N508,"23 St (F,M)",M,"F,M",40.74287796020508,-73.9928207397461,422619.71428571426
226,N512,"14 St (F,M,1,2,3)/6 Av (L)",M,"F,M,3,1,2,,L",40.73822784423828,-73.99620819091797,842609.7619047619
227,N520,"Grand St (B,D)",M,"B,D",40.71826553344727,-73.9937515258789,442390.85714285716
228,N523,2 Av (F),M,F,40.7234001159668,-73.98993682861328,321244.1904761905
229,N525,"Delancey St (F)/Essex St (J,M,Z)",M,"F,M,J,Z,",40.71861267089844,-73.98743438720703,541417.1904761905
230,N529,East Broadway (F),M,F,40.713714599609375,-73.99017333984375,269354.8095238095
231,N530,York St (F),BK,F,40.70139694213867,-73.98674774169922,242601.04761904763
232,N532,"Bergen St (F,G)",BK,"F,G",40.6861457824707,-73.99085998535156,206984.66666666666
233,N535,"Carroll St (F,G)",BK,"F,G",40.680301666259766,-73.99504852294922,200819.42857142858
234,N536,"Smith-9 Sts (F,G)",BK,"F,G",40.67358016967773,-73.99595642089844,77030.42857142857
235,N539A,"7 Av (F,G)",BK,"F,G",40.6662712097168,-73.98030853271484,209882.90476190476
236,N542,"15 St-Prospect Park (F,G)",BK,"F,G",40.66036605834961,-73.9794921875,108341.42857142857
237,N543,"Fort Hamilton Pkwy (F,G)",BK,"F,G",40.65078353881836,-73.97577667236328,103747.42857142857
238,N546,"Church Av (F,G)",BK,"F,G",40.644039154052734,-73.97967529296875,171698.57142857142
239,N548,Ditmas Av (F),BK,F,40.6361198425293,-73.9781723022461,66296.23809523809
240,N549,18 Av (F),BK,F,40.62975311279297,-73.97697448730469,57289.04761904762
241,N551,Avenue I (F),BK,F,40.62532043457031,-73.97612762451172,30360.761904761905
242,N553,Bay Pkwy (F),BK,F,40.62076950073242,-73.97526550292969,21567.380952380954
243,N555,Avenue N (F),BK,F,40.61513900756836,-73.97419738769531,46452.95238095238
244,N556,Avenue P (F),BK,F,40.60894393920898,-73.9730224609375,41603.19047619047
245,N557,Kings Hwy (F),BK,F,40.60321807861328,-73.97235870361328,56635.80952380953
246,N559,Avenue U (F),BK,F,40.59606170654297,-73.97335815429688,30158.333333333332
247,N561,Avenue X (F),BK,F,40.58961868286133,-73.97425079345703,40656.380952380954
248,N562,Neptune Av (F),BK,F,40.58101272583008,-73.97457122802734,25506.428571428572
249,N600,57 St (F),M,F,40.763973236083984,-73.97744750976562,246194.42857142858
250,N601,"Lexington Av-63 St (F,Q)",M,"F,Q",40.76462936401367,-73.96611022949219,339213.85714285716
251,N602,Roosevelt Island (F),M,F,40.7591438293457,-73.95326232910156,150015.38095238095
252,N603,21 St-Queensbridge (F),Q,F,40.75420379638672,-73.94283294677734,170039.95238095237
253,N604,Jamaica-Van Wyck (E),Q,E,40.70256423950195,-73.81685638427734,79374.38095238095
254,N605,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Q,"J,E,Z",40.70048522949219,-73.80796813964844,446301.38095238095
255,N606,"Jamaica Center-Parsons-Archer (E,J,Z)",Q,"J,E,Z",40.7021484375,-73.80110931396484,471019.4285714286
256,N700,72 St (Q),M,Q,40.768798828125,-73.95842742919922,513495.2380952381
257,N701,86 St (Q),M,Q,40.77788925170898,-73.95178985595703,429826.0
258,N702,96 St (Q),M,Q,40.78431701660156,-73.94715118408203,310875.28571428574
259,R101,"South Ferry (1)/Whitehall St (R,W)",M,"1,R,,W",40.703086853027344,-74.01299285888672,474593.2380952381
260,R103,Rector St (1),M,1,40.70751190185547,-74.01378631591797,127617.61904761905
261,R106,WTC Cortlandt (1),M,1,40.71183395385742,-74.01219177246094,226796.42857142858
262,R111,"Wall St (2,3)",M,"3,2",40.70682144165039,-74.00910186767578,287867.85714285716
263,R116,"Chambers St (1,2,3)",M,"3,1,2",40.715476989746094,-74.00926971435547,294409.1904761905
264,R117,Franklin St (1),M,1,40.71931838989258,-74.00688934326172,100482.52380952382
265,R119,Canal St (1),M,1,40.72285461425781,-74.00627899169922,89254.95238095238
266,R123,Houston St (1),M,1,40.72825241088867,-74.00536346435547,213107.66666666666
267,R125,Christopher St-Sheridan Sq (1),M,1,40.7334213256836,-74.0029067993164,216546.38095238095
268,R129,18 St (1),M,1,40.74103927612305,-73.99787139892578,136442.90476190476
269,R131,23 St (1),M,1,40.74407958984375,-73.99565887451172,242918.80952380953
270,R133,28 St (1),M,1,40.747215270996094,-73.99336242675781,231533.66666666666
271,R135,"34 St-Penn Station (1,2,3)",M,"3,1,2",40.75037384033203,-73.99105834960938,1200274.4761904762
272,R154,50 St (1),M,1,40.76172637939453,-73.98384857177734,445514.61904761905
273,R160,66 St-Lincoln Center (1),M,1,40.77344131469727,-73.98220825195312,361453.5238095238
274,R161B,"72 St (1,2,3)",M,"3,1,2",40.7784538269043,-73.98197174072266,696606.8095238095
275,R162,79 St (1),M,1,40.783935546875,-73.97991943359375,276405.14285714284
276,R164,86 St (1),M,1,40.78864288330078,-73.9762191772461,317268.7619047619
